y,u
0,0
0.004780218,0
0.006420861,0
0.007833757,0
0.009986511,0
0.0158828,0
0.017572605,0
0.019118101,0
0.02199941,0
0.037646934,0
0.038346858,0
0.0495906,0
0.061181001,0
0.06169342,0
0.063640952,0
0.065072928,0
0.068836261,0
0.0779832,0
0.125517688,0
0.125713151,0
0.126102233,0
0.144229907,0
0.168275793,0
0.184450937,0
0.186476278,0
0.203831047,0
0.234467302,0
0.255395007,0
0.257553794,0
0.266217151,0
0.299798053,0
0.315031335,0
0.326642668,0
0.340250711,0
0.368369645,0
0.390888384,0
0.400960226,0
0.416458165,0
0.423348728,0
0.460281504,0
0.485571756,0
0.495333407,0
0.500596573,0
0.512572265,0
0.534608012,0
0.55623993,0
0.562713886,0
0.564786144,0
0.574195975,0
0.590848874,0
0.620604667,0
0.631150957,0
0.638876357,0
0.677840469,0
0.730756695,0
0.731133303,0
0.732279346,0
0.794382789,0
0.807987857,0
0.824895442,0
0.846779103,0
0.849928,0
0.866056301,0
0.873067528,0
0.88833752,0
0.913166618,0
0.942512782,0
0.951253238,0
0.962974797,0
0.966731321,0
0.968627674,0
0.96927117,0
0.98111219,0
0.988469526,0
0.989542898,0
0.98994728,0
1,0
